Code.exe,2025-02-28,12:53:26,1
python3.11.exe,2025-02-28,12:53:27,4
Code.exe,2025-02-28,12:53:31,4
python3.11.exe,2025-02-28,12:53:35,11
Code.exe,2025-02-28,12:56:42,1
python3.11.exe,2025-02-28,12:56:43,13
Code.exe,2025-02-28,12:56:57,2
chrome.exe,2025-02-28,12:56:59,3
Code.exe,2025-02-28,12:57:02,4
python3.11.exe,2025-02-28,12:57:06,8
chrome.exe,2025-02-28,12:57:14,19
Code.exe,2025-02-28,12:57:33,2
cmd.exe,2025-02-28,13:07:52,1
python3.11.exe,2025-02-28,13:07:53,2
chrome.exe,2025-02-28,13:07:55,17
